reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,cleaned,no_stopwords,stemmed
7216c4f5-85b4-4a2e-b776-a98da4b62f71,Erfinade Ermawann,https://play-lh.googleusercontent.com/a/ACg8ocLsiwMilviNLbKDFMJG3aKsyRbcFvhTeV1WIqcZD5l6YhwsOA=mo,"driver gada attitude, serasa dunia dia yang punya lalu ketika di komplain lewat aplikasi juga kayaknya gada tindak lanjut, yakan? jadi harus complain kemana lagi ? atau memang solusi nya adalah ganti ke kompetitor lain aja sekalian??",1,0,,2025-10-28 10:14:50,"Hai Kak Erfinade, mohon maaf atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gojek.com dengan melampirkan kode psr-25-301-0343-20201 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Maura",2025-10-28 10:43:25,,driver gada attitude serasa dunia dia yang punya lalu ketika di komplain lewat aplikasi juga kayaknya gada tindak lanjut yakan jadi harus complain kemana lagi atau memang solusi nya adalah ganti ke kompetitor lain aja sekalian,driver gada attitude serasa dunia punya lalu komplain lewat aplikasi kayaknya gada tindak lanjut yakan jadi complain memang solusi nya ganti kompetitor aja sekalian,driver gada attitude serasa dunia punya lalu komplain lewat aplikasi kayak gada tindak lanjut yakan jadi complain memang solusi nya ganti kompetitor aja sekali
ab007fad-306d-4c5d-8ec2-f3c7b6fef930,Rahyuni Yuni,https://play-lh.googleusercontent.com/a/ACg8ocIJfrbF0EuYIawpQxrO_QPykG-8CAaIWscvC639zIj5pitmPw=mo,app nya kurang oke. hanya nyilsa driver aja,1,0,5.36.2,2025-10-28 10:13:45,,,5.36.2,app nya kurang oke hanya nyilsa driver aja,app nya kurang oke nyilsa driver aja,app nya kurang oke nyilsa driver aja
e23caa9f-a64b-4e61-a8d0-b7ea16fc717f,Maulana Susan,https://play-lh.googleusercontent.com/a-/ALV-UjVNXIzNl-4oiRCrnJPDiDpVEkdcXsZxtaWbNqDdJR-1oaHMnK8,mantaaap,5,0,,2025-10-28 09:39:14,,,,mantaaap,mantaaap,mantaaap
5ea8c31e-4446-43aa-a7a3-8055b9f1d590,Reyhan Fitria Prasasti,https://play-lh.googleusercontent.com/a/ACg8ocK09f7J8581fcFnIyCBLYsQkT4ZtCW-H-dYaMJIwKxz5Gqxxw=mo,sering eror,1,0,,2025-10-28 09:15:17,,,,sering eror,sering eror,sering eror
dd41cbb6-42e9-4a97-8a16-897ff9b11b7c,Khoirun Nisa,https://play-lh.googleusercontent.com/a/ACg8ocKMPL0OefcIcr7VTU4k2hdWPz8QkQPfSjBFnFJjnRYKJtYCzA=mo,sangat nyaman drivernya baik. siiiiipppppp semoga lebih baik lagi pelayanan gojek,5,0,5.36.2,2025-10-28 09:00:25,,,5.36.2,sangat nyaman drivernya baik siiiiipppppp semoga lebih baik lagi pelayanan gojek,sangat nyaman drivernya baik siiiiipppppp semoga lebih baik pelayanan gojek,sangat nyaman drivernya baik siiiiipppppp moga lebih baik layan gojek
548c5359-5e3c-4b73-809b-3fcbb78410cf,Totok Wibowo,https://play-lh.googleusercontent.com/a/ACg8ocI7KsuWzqRJjYC_OksT8ivZX2ry-r-X6mMMt3ZgJf7ZsIY0OQ=mo,selalu ada disaat dibutuhkan...mantab 👍,5,0,5.36.2,2025-10-28 08:54:44,,,5.36.2,selalu ada disaat dibutuhkan mantab,selalu disaat dibutuhkan mantab,selalu saat butuh mantab
de105c2e-0329-465a-83f2-09b4e80111ed,Moh. Nur Khaqiqi,https://play-lh.googleusercontent.com/a-/ALV-UjWI9CXEqDNMn1CeUCpucxy-ix0YY2QsI3ys2fEwFDT48LJ1Sxho,"saya cari cari untuk menu layanan customer kok ga ada yaa, saya pesen gocar namun kenapa otomatis pake gopay later, dan saya ga tahu tiba tiba ada biaya settlement amount, maksudnya apa?",2,0,5.36.2,2025-10-28 08:54:01,"Hai Kak Nur, mohon maaf atas kendala yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-25-301-0222-18084 di subjek email, ya. ^Maura",2025-10-28 09:22:24,5.36.2,saya cari cari untuk menu layanan customer kok ga ada yaa saya pesen gocar namun kenapa otomatis pake gopay later dan saya ga tahu tiba tiba ada biaya settlement amount maksudnya apa,cari cari menu layanan customer kok ga yaa pesen gocar otomatis pake gopay later ga tahu tiba tiba biaya settlement amount maksudnya apa,cari cari menu layan customer kok ga yaa sen gocar otomatis pake gopay later ga tahu tiba tiba biaya settlement amount maksud apa
8df6a08e-d03e-484a-9cf7-83d487c7154e,Hendri Gunawan,https://play-lh.googleusercontent.com/a-/ALV-UjVRhgzFkmIi7VLQUmjDa_m8HYjY_zp1crq8A414e7HCeNjfTJZF,sesuai standar,4,0,5.36.2,2025-10-28 08:40:05,,,5.36.2,sesuai standar,sesuai standar,sesuai standar
e8e46f1e-02cc-4c48-b25b-eca413b6ca3c,Dini. Agustina Td,https://play-lh.googleusercontent.com/a-/ALV-UjVT5tfBMMFY7dQCCyyUcvwFF2Y45qLp7B2Q7zgSl-sBaHZE1BM,kenapa kalo gofood lama terus gak gercep yaa,5,0,5.36.2,2025-10-28 08:38:55,,,5.36.2,kenapa kalo gofood lama terus gak gercep yaa,kalo gofood lama terus gak gercep yaa,kalo gofood lama terus gak gercep yaa
33f3d855-3192-4f66-877a-f617d820d61a,Toni,https://play-lh.googleusercontent.com/a-/ALV-UjX13flhOZGEgakE6ktOhJeUxcTXKTzA-nITvGAQw6PUf0bDg-jX,"Cintai dan gunakanlah Produk-produk Anak Bangsa Indonesia. agar negeri ini maju dengan sendirinya, tanpa melibatkan b4ngke para tikus-tikus sok lapar.",5,0,,2025-10-28 08:22:50,,,,cintai dan gunakanlah produk produk anak bangsa indonesia agar negeri ini maju dengan sendirinya tanpa melibatkan b ngke para tikus tikus sok lapar,cintai gunakanlah produk produk anak bangsa indonesia negeri maju sendirinya melibatkan b ngke tikus tikus sok lapar,cinta guna produk produk anak bangsa indonesia negeri maju sendiri libat b ngke tikus tikus sok lapar
29fea472-eb62-4e43-b901-19809ec6bd6c,Aida Susanti,https://play-lh.googleusercontent.com/a-/ALV-UjW0z6aDL-ETvulgjef4Yc3WCsyn9F0vUpRQHiZieSBx099KHjNs,gojek gosen ok lh saat gk bs jln sndri ad gojek kirim barang ad gosen,5,0,5.36.2,2025-10-28 08:05:09,,,5.36.2,gojek gosen ok lh saat gk bs jln sndri ad gojek kirim barang ad gosen,gojek gosen lh gk bs jln sndri ad gojek kirim barang ad gosen,gojek gosen lh gk bs jln sndri ad gojek kirim barang ad gosen
a86e4dda-70cc-4f82-a2bc-25697bb73f7f,Rio,https://play-lh.googleusercontent.com/a/ACg8ocIc4jG0mUcK1yZnwyaatwLmn7CZUG-TvmSJ1O7r0BqkmMA16g=mo,aplikasi tolol nyari driver setengah jam,1,0,5.36.2,2025-10-28 07:11:52,"Mohon maaf ya, Kak Rio. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika masih berkendala silakan ke menu Bantuan Gojek dengan ketik ""Saya tidak mendapatkan driver"". ^Maura",2025-10-28 07:36:45,5.36.2,aplikasi tolol nyari driver setengah jam,aplikasi tolol nyari driver setengah jam,aplikasi tolol nyari driver tengah jam
8bcecd9c-7e5f-4480-b470-5df8ecaadf6e,GANDRUNG team,https://play-lh.googleusercontent.com/a-/ALV-UjUoLwAEGBS2ds3ap7cmlcTSnSdLiHrbF27wIE9_hvHjfIC1PVcx,suka aplikasi ini,5,0,5.36.2,2025-10-28 07:10:09,,,5.36.2,suka aplikasi ini,suka aplikasi,suka aplikasi
cf30be72-2a95-430d-a68b-75c2f0c72f72,Riantin Widi,https://play-lh.googleusercontent.com/a-/ALV-UjUPQ4ruwJSKq_VtLanZuf1vQYaz3FnywmA8ngwAUeRpinJ2hW5J,nyaman,4,0,,2025-10-28 07:04:28,,,,nyaman,nyaman,nyaman
bea5fca6-073e-4b0d-9b89-094156ab29a5,Ema Hermawati,https://play-lh.googleusercontent.com/a/ACg8ocIpzSDhQwFbXqr1_DBgxZOxvskGlkRJTYkRVh-mRzlf3hUy9w=mo,puas bgt pelayanan,5,0,5.36.2,2025-10-28 06:51:46,,,5.36.2,puas bgt pelayanan,puas bgt pelayanan,puas bgt layan
d15b06ae-ce8d-41d0-837a-411220b54d90,Suryani “simon” AMK,https://play-lh.googleusercontent.com/a/ACg8ocIZ8P1a6L9wq797dM6eUeNOJXvQliLGI0rAkXdxtCKapiw-ahYi=mo,selalu ada disaat dibutuhkan,5,0,5.33.1,2025-10-28 06:48:23,,,5.33.1,selalu ada disaat dibutuhkan,selalu disaat dibutuhkan,selalu saat butuh
7188c81c-6fdb-4e1b-b34f-7719ac21e650,Keenan Sabilrayyan,https://play-lh.googleusercontent.com/a-/ALV-UjWLtzhIkV0wjzsk34STEV0dFK1juGb-_mE8arCtocLWzSmPG3_w,"gak jelas, rating sendiri bagus dan aman aman aja gak pernah aneh aneh atau ngapain tapi kalau nyari driver lama banget apalagi kalau telat bisa sampe 10 menitan",1,0,5.35.1,2025-10-28 06:39:40,"Mohon maaf ya, Kak Keenan. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika masih berkendala silakan ke menu Bantuan Gojek dengan ketik ""Saya tidak mendapatkan driver"". ^Maura",2025-10-28 07:13:43,5.35.1,gak jelas rating sendiri bagus dan aman aman aja gak pernah aneh aneh atau ngapain tapi kalau nyari driver lama banget apalagi kalau telat bisa sampe menitan,gak jelas rating sendiri bagus aman aman aja gak pernah aneh aneh ngapain kalau nyari driver lama banget kalau telat sampe menitan,gak jelas rating sendiri bagus aman aman aja gak pernah aneh aneh ngapain kalau nyari driver lama banget kalau telat sampe menit
18a97ccf-4db5-4d2e-a517-e37aee29e603,Magic Five5,https://play-lh.googleusercontent.com/a-/ALV-UjWRzVUSXRRcl3kKBjXITfebfRCVQkYXwaqqhwSYliTzLmcOm5g,lama nunggu ya tolong di perbaiki pencarian ya,1,0,5.36.2,2025-10-28 06:01:32,"Mohon maaf ya, Kak @Magic Five5. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pesanan di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika masih berkendala silakan ke menu Bantuan Gojek dengan ketik ""Saya tidak mendapatkan driver"". ^Maura",2025-10-28 06:46:56,5.36.2,lama nunggu ya tolong di perbaiki pencarian ya,lama nunggu perbaiki pencarian,lama nunggu baik cari
51daf339-881e-4103-8803-e9002e06bffc,Rulianda Machmuddin,https://play-lh.googleusercontent.com/a/ACg8ocILLowdlZQNNgSTG3dJefs1_KmMIkAtp381bO84HkFUbPrvRw=mo,"promo gojeknya d palembang makin lama makin sedikit mana mau d tulis dulu lagi kode promo nya mana mesti begadang dulu d Senin jam 00.00 itu pun 3 menit habis,kalau mau kasih promo gak usah pake syarat yang aneh2 dong",1,0,5.35.1,2025-10-28 05:56:09,,,5.35.1,promo gojeknya d palembang makin lama makin sedikit mana mau d tulis dulu lagi kode promo nya mana mesti begadang dulu d senin jam itu pun menit habis kalau mau kasih promo gak usah pake syarat yang aneh dong,promo gojeknya d palembang makin lama makin sedikit mana mau d tulis dulu kode promo nya mana mesti begadang dulu d senin jam menit habis kalau mau kasih promo gak usah pake syarat aneh dong,promo gojek d palembang makin lama makin sedikit mana mau d tulis dulu kode promo nya mana mesti begadang dulu d senin jam menit habis kalau mau kasih promo gak usah pake syarat aneh dong
a7bde905-f956-48b5-8a1e-771a7e887529,firdaus arsyad,https://play-lh.googleusercontent.com/a-/ALV-UjUEI6f70sjPwYL9GhzjT9YBVv1stXteEVaGd8Krxffs_Wj6cF0,biaya GoRide lebih mahal dibanding grab bike padahal sudah daftar Gojek Plus,3,0,4.83.1,2025-10-28 05:54:52,"Mohon maaf atas ketidaknyamanannya, Kak Firdaus. Terkait ulasanmu, kami selalu berupaya untuk memberlakukan tarif yang terjangkau bagi seluruh pelanggan agar dapat selalu menjaga kualitas layanan terbaik. Kami harap kamu senantiasa nyaman dalam menggunakan layanan Gojek. Jika ada kendala lain silakan hubungi kami di menu Bantuan. ^Maura",2025-10-28 06:21:12,4.83.1,biaya goride lebih mahal dibanding grab bike padahal sudah daftar gojek plus,biaya goride lebih mahal dibanding grab bike padahal daftar gojek plus,biaya goride lebih mahal banding grab bike padahal daftar gojek plus
