reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
7216c4f5-85b4-4a2e-b776-a98da4b62f71,Erfinade Ermawann,https://play-lh.googleusercontent.com/a/ACg8ocLsiwMilviNLbKDFMJG3aKsyRbcFvhTeV1WIqcZD5l6YhwsOA=mo,"driver gada attitude, serasa dunia dia yang punya lalu ketika di komplain lewat aplikasi juga kayaknya gada tindak lanjut, yakan? jadi harus complain kemana lagi ? atau memang solusi nya adalah ganti ke kompetitor lain aja sekalian??",1,0,,2025-10-28 10:14:50,"Hai Kak Erfinade, mohon maaf atas ketidaknyamanannya. Jika kamu masih mengalami kendala, silakan laporkan melalui email ke customerservice@gojek.com dengan melampirkan kode psr-25-301-0343-20201 pada subject email dan cantumkan nomor laporan kamu sebelumnya pada email yang kamu kirimkan. Kami tunggu detail laporan kamu ya. ^Maura",2025-10-28 10:43:25,
ab007fad-306d-4c5d-8ec2-f3c7b6fef930,Rahyuni Yuni,https://play-lh.googleusercontent.com/a/ACg8ocIJfrbF0EuYIawpQxrO_QPykG-8CAaIWscvC639zIj5pitmPw=mo,app nya kurang oke. hanya nyilsa driver aja,1,0,5.36.2,2025-10-28 10:13:45,,,5.36.2
e23caa9f-a64b-4e61-a8d0-b7ea16fc717f,Maulana Susan,https://play-lh.googleusercontent.com/a-/ALV-UjVNXIzNl-4oiRCrnJPDiDpVEkdcXsZxtaWbNqDdJR-1oaHMnK8,mantaaap,5,0,,2025-10-28 09:39:14,,,
5ea8c31e-4446-43aa-a7a3-8055b9f1d590,Reyhan Fitria Prasasti,https://play-lh.googleusercontent.com/a/ACg8ocK09f7J8581fcFnIyCBLYsQkT4ZtCW-H-dYaMJIwKxz5Gqxxw=mo,sering eror,1,0,,2025-10-28 09:15:17,,,
dd41cbb6-42e9-4a97-8a16-897ff9b11b7c,Khoirun Nisa,https://play-lh.googleusercontent.com/a/ACg8ocKMPL0OefcIcr7VTU4k2hdWPz8QkQPfSjBFnFJjnRYKJtYCzA=mo,sangat nyaman drivernya baik. siiiiipppppp semoga lebih baik lagi pelayanan gojek,5,0,5.36.2,2025-10-28 09:00:25,,,5.36.2
548c5359-5e3c-4b73-809b-3fcbb78410cf,Totok Wibowo,https://play-lh.googleusercontent.com/a/ACg8ocI7KsuWzqRJjYC_OksT8ivZX2ry-r-X6mMMt3ZgJf7ZsIY0OQ=mo,selalu ada disaat dibutuhkan...mantab 👍,5,0,5.36.2,2025-10-28 08:54:44,,,5.36.2
de105c2e-0329-465a-83f2-09b4e80111ed,Moh. Nur Khaqiqi,https://play-lh.googleusercontent.com/a-/ALV-UjWI9CXEqDNMn1CeUCpucxy-ix0YY2QsI3ys2fEwFDT48LJ1Sxho,"saya cari cari untuk menu layanan customer kok ga ada yaa, saya pesen gocar namun kenapa otomatis pake gopay later, dan saya ga tahu tiba tiba ada biaya settlement amount, maksudnya apa?",2,0,5.36.2,2025-10-28 08:54:01,"Hai Kak Nur, mohon maaf atas kendala yang kamu alami terkait GoPay Later. Agar masalahnya dapat segera kami bantu, silakan ceritakan lebih lanjut kepada kami melalui email ke support@mab.co.id dan cantumkan kode psr-25-301-0222-18084 di subjek email, ya. ^Maura",2025-10-28 09:22:24,5.36.2
8df6a08e-d03e-484a-9cf7-83d487c7154e,Hendri Gunawan,https://play-lh.googleusercontent.com/a-/ALV-UjVRhgzFkmIi7VLQUmjDa_m8HYjY_zp1crq8A414e7HCeNjfTJZF,sesuai standar,4,0,5.36.2,2025-10-28 08:40:05,,,5.36.2
e8e46f1e-02cc-4c48-b25b-eca413b6ca3c,Dini. Agustina Td,https://play-lh.googleusercontent.com/a-/ALV-UjVT5tfBMMFY7dQCCyyUcvwFF2Y45qLp7B2Q7zgSl-sBaHZE1BM,kenapa kalo gofood lama terus gak gercep yaa,5,0,5.36.2,2025-10-28 08:38:55,,,5.36.2
33f3d855-3192-4f66-877a-f617d820d61a,Toni,https://play-lh.googleusercontent.com/a-/ALV-UjX13flhOZGEgakE6ktOhJeUxcTXKTzA-nITvGAQw6PUf0bDg-jX,"Cintai dan gunakanlah Produk-produk Anak Bangsa Indonesia. agar negeri ini maju dengan sendirinya, tanpa melibatkan b4ngke para tikus-tikus sok lapar.",5,0,,2025-10-28 08:22:50,,,
